episode	epsilon	score	bonus	straight	full	low	high	yum
1245000	1	56.46	0.28	0.0	0.0	0.0	0.0	0.0
1250000	1	54.75	0.2	0.0	0.0	0.0	0.0	0.0
1255000	1	53.89	0.18	0.0	0.0	0.0	0.0	0.0
1260000	1	54.96	0.24	0.0	0.0	0.0	0.0	0.0
1265000	1	55.99	0.28	0.0	0.0	0.0	0.0	0.0
1270000	1	54.8	0.24	0.0	0.0	0.0	0.0	0.0
1275000	1	54.2	0.21	0.0	0.0	0.0	0.0	0.0
1280000	1	55.2	0.23	0.0	0.0	0.0	0.0	0.0
1285000	1	54.24	0.24	0.0	0.0	0.0	0.0	0.0
1290000	1	53.95	0.2	0.0	0.0	0.0	0.0	0.0
1295000	1	55.64	0.21	0.0	0.0	0.0	0.0	0.0
1300000	1	57.71	0.36	0.0	0.0	0.0	0.0	0.0
1305000	1	55.17	0.23	0.0	0.0	0.0	0.0	0.0
1310000	1	55.56	0.25	0.0	0.0	0.0	0.0	0.0
1315000	1	56.84	0.26	0.0	0.0	0.0	0.0	0.0
1320000	1	54.91	0.23	0.0	0.0	0.0	0.0	0.0
1325000	1	54.86	0.32	0.0	0.0	0.0	0.0	0.0
1330000	1	56.9	0.31	0.0	0.0	0.0	0.0	0.0
1335000	1	54.49	0.22	0.0	0.0	0.0	0.0	0.0
1340000	1	57.61	0.37	0.0	0.0	0.0	0.0	0.0
1345000	1	56.65	0.3	0.0	0.0	0.0	0.0	0.0
1350000	1	57.49	0.3	0.0	0.0	0.0	0.0	0.0
1355000	1	54.62	0.27	0.0	0.0	0.0	0.0	0.0
1360000	1	55.77	0.28	0.0	0.0	0.0	0.0	0.0
1365000	1	53.64	0.25	0.0	0.0	0.0	0.0	0.0
1370000	1	55.67	0.31	0.0	0.0	0.0	0.0	0.0
1375000	1	56.47	0.28	0.0	0.0	0.0	0.0	0.0
1380000	1	56.08	0.27	0.0	0.0	0.0	0.0	0.0
1385000	1	56.51	0.31	0.0	0.0	0.0	0.0	0.0
1390000	1	55.36	0.21	0.0	0.0	0.0	0.0	0.0
1395000	1	55.73	0.23	0.0	0.0	0.0	0.0	0.0
1400000	1	58.06	0.35	0.0	0.0	0.0	0.0	0.0
1405000	1	54.75	0.28	0.0	0.0	0.0	0.0	0.0
1410000	1	56.11	0.26	0.0	0.0	0.0	0.0	0.0
1415000	1	56.0	0.32	0.0	0.0	0.0	0.0	0.0
1420000	1	57.28	0.38	0.0	0.0	0.0	0.0	0.0
1425000	1	55.03	0.25	0.0	0.0	0.0	0.0	0.0
1430000	1	53.98	0.19	0.0	0.0	0.0	0.0	0.0
1435000	1	56.45	0.3	0.0	0.0	0.0	0.0	0.0
1440000	1	57.15	0.27	0.0	0.0	0.0	0.0	0.0
1445000	1	55.58	0.27	0.0	0.0	0.0	0.0	0.0
1450000	1	53.67	0.17	0.0	0.0	0.0	0.0	0.0
1455000	1	54.12	0.21	0.0	0.0	0.0	0.0	0.0
1460000	1	54.45	0.26	0.0	0.0	0.0	0.0	0.0
1465000	1	55.44	0.23	0.0	0.0	0.0	0.0	0.0
1470000	1	54.76	0.24	0.0	0.0	0.0	0.0	0.0
1475000	1	57.53	0.27	0.0	0.0	0.0	0.0	0.0
