episode	eps	score	bonus	straight	full	low	high	yum
2690000	0.67	139.83	0.54	0.37	0.67	0.98	0.47	0.13
2700000	0.67	144.34	0.52	0.35	0.73	0.99	0.68	0.11
2710000	0.66	143.37	0.50	0.27	0.77	0.98	0.64	0.18
2720000	0.66	142.85	0.49	0.35	0.66	0.97	0.65	0.21
2730000	0.66	146.47	0.55	0.42	0.70	0.96	0.70	0.10
2740000	0.66	141.26	0.49	0.35	0.73	1.00	0.63	0.08
2750000	0.66	146.65	0.55	0.27	0.84	0.99	0.68	0.10
2760000	0.66	144.72	0.57	0.34	0.69	0.96	0.63	0.15
2770000	0.66	143.66	0.52	0.36	0.66	0.93	0.70	0.15
2780000	0.66	143.73	0.56	0.30	0.67	0.99	0.64	0.16
2790000	0.65	141.44	0.45	0.40	0.72	0.99	0.64	0.10
2800000	0.65	143.9	0.46	0.36	0.75	0.98	0.59	0.20
2810000	0.65	140.45	0.49	0.28	0.71	0.99	0.68	0.11
2820000	0.65	138.81	0.51	0.30	0.62	0.96	0.59	0.16
2830000	0.65	143.48	0.52	0.33	0.72	1.00	0.60	0.15
2840000	0.65	140.21	0.54	0.23	0.72	0.97	0.60	0.13
2850000	0.65	137.68	0.41	0.38	0.71	0.99	0.55	0.13
2860000	0.65	143.07	0.54	0.30	0.65	1.00	0.65	0.19
2870000	0.64	143.23	0.55	0.31	0.78	0.96	0.58	0.11
2880000	0.64	145.25	0.59	0.32	0.73	0.98	0.57	0.19
2890000	0.64	139.72	0.52	0.40	0.67	0.96	0.50	0.12
2900000	0.64	141.35	0.50	0.38	0.72	0.97	0.54	0.11
2910000	0.64	145.33	0.57	0.36	0.68	1.00	0.65	0.13
2920000	0.64	145.13	0.61	0.32	0.71	0.99	0.61	0.11
2930000	0.64	148.04	0.56	0.39	0.76	0.97	0.66	0.13
2940000	0.64	139.96	0.52	0.29	0.67	0.97	0.62	0.12
2950000	0.63	140.22	0.55	0.33	0.64	0.97	0.63	0.09
2960000	0.63	144.31	0.52	0.43	0.69	0.99	0.66	0.07
2970000	0.63	143.87	0.50	0.34	0.65	0.99	0.66	0.22
2980000	0.63	144.77	0.51	0.34	0.70	1.00	0.66	0.15
2990000	0.63	141.57	0.51	0.33	0.72	0.98	0.56	0.16
3000000	0.63	142.08	0.45	0.36	0.70	0.99	0.64	0.16
3010000	0.63	145.1	0.54	0.38	0.69	0.99	0.65	0.12
3020000	0.63	144.37	0.49	0.40	0.72	1.00	0.68	0.10
3030000	0.62	135.55	0.38	0.32	0.66	0.97	0.63	0.14
3040000	0.62	143.57	0.50	0.28	0.71	0.99	0.68	0.16
3050000	0.62	137.7	0.45	0.28	0.63	0.99	0.63	0.17
3060000	0.62	149.85	0.54	0.36	0.67	1.00	0.75	0.21
3070000	0.62	145.39	0.55	0.36	0.67	0.99	0.62	0.15
3080000	0.62	143.56	0.56	0.42	0.67	0.98	0.58	0.11
3090000	0.62	142.14	0.54	0.34	0.65	0.99	0.64	0.11
3100000	0.62	145.59	0.58	0.39	0.65	0.98	0.62	0.16
3110000	0.62	142.62	0.53	0.37	0.62	0.98	0.62	0.14
3120000	0.61	143.39	0.56	0.31	0.62	0.98	0.68	0.13
3130000	0.61	147.09	0.57	0.39	0.71	0.97	0.61	0.17
3140000	0.61	144.69	0.54	0.36	0.71	0.99	0.63	0.15
3150000	0.61	142.95	0.45	0.39	0.71	0.99	0.65	0.14
3160000	0.61	146.95	0.58	0.35	0.78	0.99	0.54	0.16
3170000	0.61	143.38	0.56	0.26	0.69	0.97	0.72	0.10
3180000	0.61	142.86	0.53	0.32	0.69	1.00	0.63	0.11
3190000	0.61	142.68	0.48	0.31	0.68	0.95	0.68	0.17
3200000	0.60	142.08	0.56	0.27	0.74	0.98	0.62	0.09
3210000	0.60	143.54	0.61	0.26	0.70	0.98	0.53	0.17
3220000	0.60	143.9	0.51	0.42	0.74	0.98	0.66	0.08
3230000	0.60	143.83	0.54	0.33	0.66	1.00	0.68	0.13
3240000	0.60	151.47	0.58	0.44	0.67	0.98	0.73	0.17
3250000	0.60	147.38	0.66	0.38	0.66	0.99	0.65	0.06
3260000	0.60	144.8	0.54	0.34	0.70	1.00	0.63	0.16
3270000	0.60	139.42	0.50	0.30	0.66	0.97	0.64	0.09
3280000	0.59	144.28	0.51	0.31	0.77	1.00	0.61	0.16
3290000	0.59	141.13	0.50	0.42	0.69	1.00	0.54	0.12
3300000	0.59	148.22	0.55	0.34	0.80	0.97	0.61	0.20
3310000	0.59	144.31	0.54	0.33	0.65	0.98	0.66	0.15
3320000	0.59	146.38	0.60	0.38	0.66	0.98	0.60	0.15
3330000	0.59	144.8	0.58	0.29	0.70	0.99	0.67	0.15
3340000	0.59	148.7	0.58	0.37	0.76	0.99	0.70	0.17
3350000	0.59	146.84	0.57	0.39	0.68	0.97	0.65	0.16
3360000	0.58	141.15	0.47	0.31	0.72	0.98	0.62	0.14
3370000	0.58	140.55	0.45	0.28	0.71	0.98	0.67	0.15
3380000	0.58	144.25	0.50	0.30	0.68	1.00	0.70	0.16
3390000	0.58	149.39	0.66	0.37	0.66	0.98	0.64	0.20
3400000	0.58	145.63	0.53	0.38	0.72	1.00	0.67	0.09
3410000	0.58	143.42	0.57	0.27	0.69	1.00	0.64	0.12
3420000	0.58	140.95	0.54	0.36	0.60	0.99	0.62	0.13
3430000	0.58	150.04	0.63	0.44	0.64	1.00	0.64	0.16
3440000	0.57	146.84	0.50	0.35	0.77	0.99	0.61	0.19
3450000	0.57	141.88	0.56	0.34	0.72	0.98	0.54	0.09
3460000	0.57	143.74	0.50	0.34	0.70	0.97	0.68	0.15
3470000	0.57	143.11	0.55	0.28	0.67	0.99	0.69	0.14
3480000	0.57	142.99	0.57	0.27	0.77	0.98	0.61	0.11
3490000	0.57	141.31	0.49	0.31	0.78	0.98	0.61	0.10
3500000	0.57	150.44	0.64	0.29	0.70	1.00	0.71	0.17
3510000	0.57	144.44	0.52	0.35	0.75	1.00	0.64	0.10
3520000	0.56	143.31	0.49	0.36	0.72	0.99	0.63	0.14
3530000	0.56	144.9	0.50	0.45	0.77	0.95	0.56	0.16
3540000	0.56	144.97	0.48	0.34	0.70	1.00	0.74	0.14
3550000	0.56	142.14	0.52	0.26	0.70	1.00	0.61	0.18
3560000	0.56	143.86	0.52	0.31	0.70	0.99	0.63	0.15
3570000	0.56	144.67	0.56	0.36	0.74	0.99	0.56	0.13
3580000	0.56	146.51	0.55	0.36	0.77	0.99	0.64	0.11
3590000	0.56	148.12	0.61	0.34	0.69	0.98	0.63	0.17
3600000	0.55	141.75	0.53	0.28	0.70	1.00	0.60	0.13
3610000	0.55	144.3	0.57	0.32	0.74	0.97	0.62	0.08
3620000	0.55	148.68	0.60	0.31	0.67	0.99	0.71	0.18
3630000	0.55	144.78	0.50	0.39	0.69	0.97	0.65	0.19
3640000	0.55	138.61	0.43	0.32	0.69	1.00	0.65	0.12
3650000	0.55	140.79	0.52	0.31	0.70	1.00	0.64	0.07
3660000	0.55	149.66	0.61	0.38	0.71	0.99	0.69	0.11
3670000	0.55	148.7	0.69	0.41	0.73	0.99	0.57	0.07
3680000	0.54	142.24	0.52	0.28	0.71	0.96	0.64	0.13
3690000	0.54	147.01	0.60	0.24	0.76	0.97	0.66	0.16
3700000	0.54	146.9	0.58	0.32	0.76	0.99	0.68	0.12
3710000	0.54	141.25	0.51	0.28	0.69	0.98	0.57	0.17
3720000	0.54	142.77	0.51	0.29	0.72	0.99	0.70	0.10
3730000	0.54	146.07	0.60	0.35	0.74	0.99	0.60	0.13
3740000	0.54	149.05	0.56	0.31	0.83	0.99	0.62	0.16
3750000	0.54	148.65	0.56	0.34	0.73	1.00	0.73	0.15
3760000	0.53	143.84	0.55	0.34	0.66	0.97	0.61	0.16
3770000	0.53	146.9	0.62	0.35	0.63	0.99	0.67	0.14
3780000	0.53	146.89	0.54	0.38	0.74	0.98	0.71	0.11
3790000	0.53	148.22	0.51	0.37	0.79	0.98	0.68	0.15
3800000	0.53	148.48	0.65	0.34	0.74	0.97	0.65	0.11
3810000	0.53	145.15	0.57	0.34	0.65	1.00	0.68	0.10
3820000	0.53	142.66	0.54	0.36	0.67	0.99	0.61	0.14
3830000	0.53	146.54	0.54	0.41	0.74	0.98	0.65	0.15
3840000	0.52	147.62	0.62	0.36	0.76	1.00	0.58	0.14
3850000	0.52	139.96	0.46	0.34	0.70	0.99	0.59	0.15
3860000	0.52	143.62	0.50	0.30	0.79	1.00	0.62	0.11
3870000	0.52	146.0	0.57	0.37	0.71	0.99	0.65	0.14
3880000	0.52	147.71	0.54	0.45	0.68	0.98	0.64	0.15
